slice_file_name,fsID,start,end,salience,fold,classID,class
children_cut_0000.wav,540970,259.7336054421769,261.7336054421769,1,children,0,children
children_cut_0001.wav,548447,3183.4827437641725,3185.4827437641725,1,children,0,children
children_cut_0002.wav,883691,237.42331065759637,239.42331065759637,1,children,0,children
children_cut_0003.wav,661176,1907.4885260770975,1909.4885260770975,1,children,0,children
children_cut_0004.wav,969140,3735.553537414966,3737.553537414966,1,children,0,children
children_cut_0005.wav,742221,684.1402721088435,686.1402721088435,1,children,0,children
children_cut_0006.wav,776059,2565.087755102041,2567.087755102041,1,children,0,children
children_cut_0007.wav,265473,3600.5939002267573,3602.5939002267573,1,children,0,children
children_cut_0008.wav,582832,1581.0667800453514,1583.0667800453514,1,children,0,children
children_cut_0009.wav,891737,1144.9007936507937,1146.9007936507937,1,children,0,children
children_cut_0010.wav,159199,2666.1950340136054,2668.1950340136054,1,children,0,children
children_cut_0011.wav,790554,3315.3849206349205,3317.3849206349205,1,children,0,children
children_cut_0012.wav,461235,706.8503401360545,708.8503401360545,1,children,0,children
children_cut_0013.wav,820246,257.00625850340134,259.00625850340134,1,children,0,children
children_cut_0014.wav,201861,1027.2650566893424,1029.2650566893424,1,children,0,children
children_cut_0015.wav,221930,3182.5442176870747,3184.5442176870747,1,children,0,children
children_cut_0016.wav,609495,2618.1679365079367,2620.1679365079367,1,children,0,children
children_cut_0017.wav,771592,185.80197278911564,187.80197278911564,1,children,0,children
children_cut_0018.wav,383760,1847.9907256235829,1849.9907256235829,1,children,0,children
children_cut_0019.wav,292215,1287.4630158730158,1289.4630158730158,1,children,0,children
children_cut_0020.wav,958276,1744.7030385487528,1746.7030385487528,1,children,0,children
children_cut_0021.wav,602825,3122.714240362812,3124.714240362812,1,children,0,children
children_cut_0022.wav,343557,3639.874693877551,3641.874693877551,1,children,0,children
children_cut_0023.wav,243308,555.4975056689342,557.4975056689342,1,children,0,children
children_cut_0024.wav,937577,3848.395351473923,3850.395351473923,1,children,0,children
children_cut_0025.wav,626113,1310.2493197278911,1312.2493197278911,1,children,0,children
children_cut_0026.wav,919903,3063.502358276644,3065.502358276644,1,children,0,children
children_cut_0027.wav,262752,3645.0701587301587,3647.0701587301587,1,children,0,children
children_cut_0028.wav,947821,3900.574829931973,3902.574829931973,1,children,0,children
children_cut_0029.wav,302655,1066.5886167800454,1068.5886167800454,1,children,0,children
children_cut_0030.wav,284481,3525.390702947846,3527.390702947846,1,children,0,children
children_cut_0031.wav,983897,2860.9890022675736,2862.9890022675736,1,children,0,children
children_cut_0032.wav,888876,3554.4549206349207,3556.4549206349207,1,children,0,children
children_cut_0033.wav,812213,840.4008616780045,842.4008616780045,1,children,0,children
children_cut_0034.wav,651716,2648.670589569161,2650.670589569161,1,children,0,children
children_cut_0035.wav,740657,2160.942244897959,2162.942244897959,1,children,0,children
children_cut_0036.wav,959161,2922.445215419501,2924.445215419501,1,children,0,children
children_cut_0037.wav,393081,1830.9393424036282,1832.9393424036282,1,children,0,children
children_cut_0038.wav,460081,2037.0507029478458,2039.0507029478458,1,children,0,children
children_cut_0039.wav,945201,302.75773242630385,304.75773242630385,1,children,0,children
children_cut_0040.wav,841024,3083.916507936508,3085.916507936508,1,children,0,children
children_cut_0041.wav,283632,1783.042970521542,1785.042970521542,1,children,0,children
children_cut_0042.wav,899730,2554.286485260771,2556.286485260771,1,children,0,children
children_cut_0043.wav,935058,1920.0461451247165,1922.0461451247165,1,children,0,children
children_cut_0044.wav,914186,3258.856009070295,3260.856009070295,1,children,0,children
children_cut_0045.wav,487401,2240.258344671202,2242.258344671202,1,children,0,children
children_cut_0046.wav,863978,1676.8180498866213,1678.8180498866213,1,children,0,children
children_cut_0047.wav,173326,2757.250408163265,2759.250408163265,1,children,0,children
children_cut_0048.wav,253360,2679.419931972789,2681.419931972789,1,children,0,children
children_cut_0049.wav,951696,2496.6354648526076,2498.6354648526076,1,children,0,children
children_cut_0050.wav,780239,3757.7314739229023,3759.7314739229023,1,children,0,children
children_cut_0051.wav,282754,823.056485260771,825.056485260771,1,children,0,children
children_cut_0052.wav,385776,3483.3653968253966,3485.3653968253966,1,children,0,children
children_cut_0053.wav,121966,682.1143764172335,684.1143764172335,1,children,0,children
children_cut_0054.wav,758660,2792.753015873016,2794.753015873016,1,children,0,children
children_cut_0055.wav,309079,1374.4786394557823,1376.4786394557823,1,children,0,children
children_cut_0056.wav,583283,1895.7781179138321,1897.7781179138321,1,children,0,children
children_cut_0057.wav,850837,3848.1079591836733,3850.1079591836733,1,children,0,children
children_cut_0058.wav,397525,3250.696326530612,3252.696326530612,1,children,0,children
children_cut_0059.wav,444090,880.3659863945578,882.3659863945578,1,children,0,children
children_cut_0060.wav,491343,181.37310657596373,183.37310657596373,1,children,0,children
children_cut_0061.wav,566382,3087.1019954648527,3089.1019954648527,1,children,0,children
children_cut_0062.wav,805467,2002.035850340136,2004.035850340136,1,children,0,children
children_cut_0063.wav,624061,1435.6030612244897,1437.6030612244897,1,children,0,children
children_cut_0064.wav,384254,2718.79231292517,2720.79231292517,1,children,0,children
children_cut_0065.wav,294359,3140.2362131519276,3142.2362131519276,1,children,0,children
children_cut_0066.wav,229433,27.175532879818594,29.175532879818594,1,children,0,children
children_cut_0067.wav,585781,1688.3372562358277,1690.3372562358277,1,children,0,children
children_cut_0068.wav,544564,1213.0272789115647,1215.0272789115647,1,children,0,children
children_cut_0069.wav,574245,82.85954648526076,84.85954648526076,1,children,0,children
