fname,labels
100648-1-0-0.wav,car_horn
100648-1-1-0.wav,car_horn
100648-1-2-0.wav,car_horn
100648-1-3-0.wav,car_horn
100648-1-4-0.wav,car_horn
107090-1-0-0.wav,car_horn
107090-1-1-0.wav,car_horn
117536-1-0-0.wav,car_horn
118070-1-0-0.wav,car_horn
118496-1-0-0.wav,car_horn
118496-1-1-0.wav,car_horn
121299-1-0-0.wav,car_horn
125520-1-0-0.wav,car_horn
125520-1-1-0.wav,car_horn
125520-1-2-0.wav,car_horn
125520-1-3-0.wav,car_horn
125520-1-4-0.wav,car_horn
128465-1-0-0.wav,car_horn
128465-1-0-1.wav,car_horn
128465-1-0-2.wav,car_horn
128465-1-0-3.wav,car_horn
128465-1-0-4.wav,car_horn
128465-1-0-5.wav,car_horn
128465-1-0-6.wav,car_horn
128465-1-0-7.wav,car_horn
128465-1-0-8.wav,car_horn
132073-1-0-0.wav,car_horn
132073-1-1-0.wav,car_horn
132073-1-2-0.wav,car_horn
132073-1-3-0.wav,car_horn
132073-1-4-0.wav,car_horn
132073-1-5-0.wav,car_horn
132073-1-6-0.wav,car_horn
138465-1-0-0.wav,car_horn
138468-1-0-0.wav,car_horn
143115-1-0-0.wav,car_horn
143115-1-1-0.wav,car_horn
143115-1-2-0.wav,car_horn
143115-1-3-0.wav,car_horn
143115-1-4-0.wav,car_horn
14524-1-0-0.wav,car_horn
145577-1-0-0.wav,car_horn
151359-1-0-0.wav,car_horn
151359-1-1-0.wav,car_horn
151359-1-2-0.wav,car_horn
151359-1-3-0.wav,car_horn
153057-1-0-0.wav,car_horn
155129-1-0-0.wav,car_horn
155129-1-1-0.wav,car_horn
155129-1-2-0.wav,car_horn
155130-1-0-0.wav,car_horn
155130-1-1-0.wav,car_horn
155234-1-0-0.wav,car_horn
155283-1-0-0.wav,car_horn
155283-1-1-0.wav,car_horn
156091-1-0-0.wav,car_horn
156194-1-0-0.wav,car_horn
161010-1-0-0.wav,car_horn
161010-1-1-0.wav,car_horn
