slice_file_name,fsID,start,end,salience,fold,classID,class
dog_val_segment1.wav,123456,0,2,1,val,3,dog_bark
dog_val_segment2.wav,123456,0,2,1,val,3,dog_bark
dog_val_segment4.wav,123456,0,2,1,val,3,dog_bark
dog_val_segment6.wav,123456,0,2,1,val,3,dog_bark
dog_val_segment7.wav,123456,0,2,1,val,3,dog_bark
glass_shatter_val_segment0.wav,123456,0,2,1,val,10,glass_shatter
glass_shatter_val_segment1.wav,123456,0,2,1,val,10,glass_shatter
glass_shatter_val_segment2.wav,123456,0,2,1,val,10,glass_shatter
glass_shatter_val_segment3.wav,123456,0,2,1,val,10,glass_shatter
glass_shatter_val_segment4.wav,123456,0,2,1,val,10,glass_shatter
glass_shatter_val_segment5.wav,123456,0,2,1,val,10,glass_shatter
glass_shatter_val_segment6.wav,123456,0,2,1,val,10,glass_shatter
glass_shatter_val_segment7.wav,123456,0,2,1,val,10,glass_shatter
glass_shatter_val_segment8.wav,123456,0,2,1,val,10,glass_shatter
glass_shatter_val_segment9.wav,123456,0,2,1,val,10,glass_shatter
siren_val_segment0.wav,123456,0,2,1,val,8,siren
siren_val_segment1.wav,123456,0,2,1,val,8,siren
siren_val_segment2.wav,123456,0,2,1,val,8,siren
siren_val_segment3.wav,123456,0,2,1,val,8,siren
siren_val_segment4.wav,123456,0,2,1,val,8,siren
siren_val_segment5.wav,123456,0,2,1,val,8,siren
siren_val_segment6.wav,123456,0,2,1,val,8,siren
siren_val_segment7.wav,123456,0,2,1,val,8,siren
siren_val_segment8.wav,123456,0,2,1,val,8,siren
siren_val_segment9.wav,123456,0,2,1,val,8,siren
